iso_region,timestamp_utc,hour_of_day,day_of_week,is_weekend,day_of_year,temp_c,load_mw
PJM,2026-01-05T15:00:00Z,15,0,0,5,2.66,102842.0
PJM,2026-01-05T16:00:00Z,16,0,0,5,3.56,103453.3
PJM,2026-01-05T17:00:00Z,17,0,0,5,8.17,102857.5
PJM,2026-01-05T18:00:00Z,18,0,0,5,3.94,101903.4
PJM,2026-01-05T19:00:00Z,19,0,0,5,3.66,101158.7
PJM,2026-01-05T20:00:00Z,20,0,0,5,6.73,101116.8
PJM,2026-01-05T21:00:00Z,21,0,0,5,5.3,99330.7
PJM,2026-01-05T22:00:00Z,22,0,0,5,3.03,100153.2
PJM,2026-01-05T23:00:00Z,23,0,0,5,4.26,98926.2
PJM,2026-01-06T00:00:00Z,0,1,0,6,3.95,99360.6
PJM,2026-01-06T01:00:00Z,1,1,0,6,1.8,98722.6
PJM,2026-01-06T02:00:00Z,2,1,0,6,6.67,97044.2
PJM,2026-01-06T03:00:00Z,3,1,0,6,0.8,102395.4
PJM,2026-01-06T04:00:00Z,4,1,0,6,5.76,97941.0
PJM,2026-01-06T05:00:00Z,5,1,0,6,-0.11,102022.9
PJM,2026-01-06T06:00:00Z,6,1,0,6,2.2,100385.1
PJM,2026-01-06T07:00:00Z,7,1,0,6,-1.39,103990.6
PJM,2026-01-06T08:00:00Z,8,1,0,6,-0.77,103241.7
PJM,2026-01-06T09:00:00Z,9,1,0,6,-1.76,103231.6
PJM,2026-01-06T10:00:00Z,10,1,0,6,-1.78,104796.9
PJM,2026-01-06T11:00:00Z,11,1,0,6,-0.68,104514.5
PJM,2026-01-06T12:00:00Z,12,1,0,6,0.32,105917.5
PJM,2026-01-06T13:00:00Z,13,1,0,6,0.67,105305.8
PJM,2026-01-06T14:00:00Z,14,1,0,6,1.48,104663.4
PJM,2026-01-06T15:00:00Z,15,1,0,6,1.36,104861.3
PJM,2026-01-06T16:00:00Z,16,1,0,6,3.33,105508.6
PJM,2026-01-06T17:00:00Z,17,1,0,6,6.8,102155.8
PJM,2026-01-06T18:00:00Z,18,1,0,6,4.12,101244.8
PJM,2026-01-06T19:00:00Z,19,1,0,6,7.69,100632.9
PJM,2026-01-06T20:00:00Z,20,1,0,6,7.02,98396.7
PJM,2026-01-06T21:00:00Z,21,1,0,6,7.83,99616.2
PJM,2026-01-06T22:00:00Z,22,1,0,6,4.64,99445.3
PJM,2026-01-06T23:00:00Z,23,1,0,6,6.3,98899.7
PJM,2026-01-07T00:00:00Z,0,2,0,7,4.88,99193.8
PJM,2026-01-07T01:00:00Z,1,2,0,7,4.11,99578.1
PJM,2026-01-07T02:00:00Z,2,2,0,7,5.73,96379.1
PJM,2026-01-07T03:00:00Z,3,2,0,7,2.14,100503.0
PJM,2026-01-07T04:00:00Z,4,2,0,7,1.9,100363.0
PJM,2026-01-07T05:00:00Z,5,2,0,7,-2.14,102976.6
PJM,2026-01-07T06:00:00Z,6,2,0,7,2.25,100041.3
PJM,2026-01-07T07:00:00Z,7,2,0,7,0.32,102483.0
PJM,2026-01-07T08:00:00Z,8,2,0,7,-1.46,103056.7
PJM,2026-01-07T09:00:00Z,9,2,0,7,-2.01,106062.3
PJM,2026-01-07T10:00:00Z,10,2,0,7,-0.5,106403.0
PJM,2026-01-07T11:00:00Z,11,2,0,7,0.79,105095.6
PJM,2026-01-07T12:00:00Z,12,2,0,7,2.28,104822.3
PJM,2026-01-07T13:00:00Z,13,2,0,7,1.73,104481.6
PJM,2026-01-07T14:00:00Z,14,2,0,7,1.56,104168.3
PJM,2026-01-07T15:00:00Z,15,2,0,7,3.98,102641.1
PJM,2026-01-07T16:00:00Z,16,2,0,7,4.7,103012.7
PJM,2026-01-07T17:00:00Z,17,2,0,7,6.25,102906.9
PJM,2026-01-07T18:00:00Z,18,2,0,7,8.05,101698.3
PJM,2026-01-07T19:00:00Z,19,2,0,7,3.6,102069.9
PJM,2026-01-07T20:00:00Z,20,2,0,7,4.6,100678.6
PJM,2026-01-07T21:00:00Z,21,2,0,7,8.76,99632.5
PJM,2026-01-07T22:00:00Z,22,2,0,7,5.31,98870.8
PJM,2026-01-07T23:00:00Z,23,2,0,7,6.01,98000.9
PJM,2026-01-08T00:00:00Z,0,3,0,8,4.37,99978.2
PJM,2026-01-08T01:00:00Z,1,3,0,8,6.28,99383.0
PJM,2026-01-08T02:00:00Z,2,3,0,8,0.15,101425.0
PJM,2026-01-08T03:00:00Z,3,3,0,8,2.65,100726.2
PJM,2026-01-08T04:00:00Z,4,3,0,8,3.94,98177.5
PJM,2026-01-08T05:00:00Z,5,3,0,8,-0.34,102735.7
PJM,2026-01-08T06:00:00Z,6,3,0,8,-2.65,104960.4
PJM,2026-01-08T07:00:00Z,7,3,0,8,-0.36,104055.4
PJM,2026-01-08T08:00:00Z,8,3,0,8,-2.17,105294.2
PJM,2026-01-08T09:00:00Z,9,3,0,8,0.15,104422.5
PJM,2026-01-08T10:00:00Z,10,3,0,8,-0.97,105386.3
PJM,2026-01-08T11:00:00Z,11,3,0,8,-2.21,105875.2
PJM,2026-01-08T12:00:00Z,12,3,0,8,-0.51,106024.2
PJM,2026-01-08T13:00:00Z,13,3,0,8,2.05,103833.5
PJM,2026-01-08T14:00:00Z,14,3,0,8,1.32,106521.1
PJM,2026-01-08T15:00:00Z,15,3,0,8,1.43,104140.9
PJM,2026-01-08T16:00:00Z,16,3,0,8,3.89,104500.3
PJM,2026-01-08T17:00:00Z,17,3,0,8,4.56,104290.9
PJM,2026-01-08T18:00:00Z,18,3,0,8,6.66,102526.8
PJM,2026-01-08T19:00:00Z,19,3,0,8,6.84,103306.5
PJM,2026-01-08T20:00:00Z,20,3,0,8,6.1,98890.2
PJM,2026-01-08T21:00:00Z,21,3,0,8,8.95,98712.7
PJM,2026-01-08T22:00:00Z,22,3,0,8,6.57,100791.7
PJM,2026-01-08T23:00:00Z,23,3,0,8,3.61,99073.2
PJM,2026-01-09T00:00:00Z,0,4,0,9,3.03,99629.7
PJM,2026-01-09T01:00:00Z,1,4,0,9,5.26,99882.8
PJM,2026-01-09T02:00:00Z,2,4,0,9,4.05,98502.4
PJM,2026-01-09T03:00:00Z,3,4,0,9,-0.86,101914.6
PJM,2026-01-09T04:00:00Z,4,4,0,9,0.86,101936.3
PJM,2026-01-09T05:00:00Z,5,4,0,9,1.66,101740.8
PJM,2026-01-09T06:00:00Z,6,4,0,9,0.92,102613.4
PJM,2026-01-09T07:00:00Z,7,4,0,9,-0.06,102661.7
PJM,2026-01-09T08:00:00Z,8,4,0,9,-1.53,104657.1
PJM,2026-01-09T09:00:00Z,9,4,0,9,-0.16,104140.7
PJM,2026-01-09T10:00:00Z,10,4,0,9,-0.48,104885.6
PJM,2026-01-09T11:00:00Z,11,4,0,9,-1.04,106550.5
PJM,2026-01-09T12:00:00Z,12,4,0,9,-3.21,105649.6
PJM,2026-01-09T13:00:00Z,13,4,0,9,-1.62,104209.1
PJM,2026-01-09T14:00:00Z,14,4,0,9,0.55,106313.2
PJM,2026-01-09T15:00:00Z,15,4,0,9,2.18,105020.7
PJM,2026-01-09T16:00:00Z,16,4,0,9,5.27,104626.1
PJM,2026-01-09T17:00:00Z,17,4,0,9,4.5,104532.4
PJM,2026-01-09T18:00:00Z,18,4,0,9,5.57,101539.6
PJM,2026-01-09T19:00:00Z,19,4,0,9,5.18,100515.6
PJM,2026-01-09T20:00:00Z,20,4,0,9,5.14,101014.9
PJM,2026-01-09T21:00:00Z,21,4,0,9,7.81,101410.8
PJM,2026-01-09T22:00:00Z,22,4,0,9,4.39,100942.4
PJM,2026-01-09T23:00:00Z,23,4,0,9,4.51,100565.2
PJM,2026-01-10T00:00:00Z,0,5,1,10,5.3,92277.3
PJM,2026-01-10T01:00:00Z,1,5,1,10,6.06,93002.1
PJM,2026-01-10T02:00:00Z,2,5,1,10,2.9,93760.6
PJM,2026-01-10T03:00:00Z,3,5,1,10,1.68,95796.2
PJM,2026-01-10T04:00:00Z,4,5,1,10,1.35,96121.6
PJM,2026-01-10T05:00:00Z,5,5,1,10,1.21,97528.5
PJM,2026-01-10T06:00:00Z,6,5,1,10,-0.68,96091.9
PJM,2026-01-10T07:00:00Z,7,5,1,10,0.8,97180.7
PJM,2026-01-10T08:00:00Z,8,5,1,10,0.47,98567.3
PJM,2026-01-10T09:00:00Z,9,5,1,10,-1.53,99859.1
PJM,2026-01-10T10:00:00Z,10,5,1,10,1.73,100766.9
PJM,2026-01-10T11:00:00Z,11,5,1,10,-0.7,100278.6
PJM,2026-01-10T12:00:00Z,12,5,1,10,1.45,98798.9
PJM,2026-01-10T13:00:00Z,13,5,1,10,1.16,99837.4
PJM,2026-01-10T14:00:00Z,14,5,1,10,2.1,98714.6
PJM,2026-01-10T15:00:00Z,15,5,1,10,0.28,98077.7
PJM,2026-01-10T16:00:00Z,16,5,1,10,2.02,98657.4
PJM,2026-01-10T17:00:00Z,17,5,1,10,4.22,99685.1
PJM,2026-01-10T18:00:00Z,18,5,1,10,7.15,95313.8
PJM,2026-01-10T19:00:00Z,19,5,1,10,6.65,95468.9
PJM,2026-01-10T20:00:00Z,20,5,1,10,6.1,95657.5
PJM,2026-01-10T21:00:00Z,21,5,1,10,7.59,94029.5
PJM,2026-01-10T22:00:00Z,22,5,1,10,8.12,92560.7
PJM,2026-01-10T23:00:00Z,23,5,1,10,6.14,96455.9
PJM,2026-01-11T00:00:00Z,0,6,1,11,5.89,95345.3
PJM,2026-01-11T01:00:00Z,1,6,1,11,4.86,94774.5
PJM,2026-01-11T02:00:00Z,2,6,1,11,3.68,94512.0
PJM,2026-01-11T03:00:00Z,3,6,1,11,1.56,96038.8
PJM,2026-01-11T04:00:00Z,4,6,1,11,0.42,96988.2
PJM,2026-01-11T05:00:00Z,5,6,1,11,2.36,96378.7
PJM,2026-01-11T06:00:00Z,6,6,1,11,-0.53,98062.9
PJM,2026-01-11T07:00:00Z,7,6,1,11,-1.2,99337.6
PJM,2026-01-11T08:00:00Z,8,6,1,11,-3.88,99732.5
PJM,2026-01-11T09:00:00Z,9,6,1,11,-4.26,99336.4
PJM,2026-01-11T10:00:00Z,10,6,1,11,0.91,100147.8
PJM,2026-01-11T11:00:00Z,11,6,1,11,-1.82,99317.7
PJM,2026-01-11T12:00:00Z,12,6,1,11,-4.55,101558.2
PJM,2026-01-11T13:00:00Z,13,6,1,11,4.36,99254.2
PJM,2026-01-11T14:00:00Z,14,6,1,11,0.85,100614.9
PJM,2026-01-11T15:00:00Z,15,6,1,11,0.39,99917.2
PJM,2026-01-11T16:00:00Z,16,6,1,11,3.91,98486.7
PJM,2026-01-11T17:00:00Z,17,6,1,11,5.91,97723.2
PJM,2026-01-11T18:00:00Z,18,6,1,11,6.56,95992.3
PJM,2026-01-11T19:00:00Z,19,6,1,11,7.54,97258.5
PJM,2026-01-11T20:00:00Z,20,6,1,11,5.14,95198.0
PJM,2026-01-11T21:00:00Z,21,6,1,11,8.73,93930.5
PJM,2026-01-11T22:00:00Z,22,6,1,11,8.7,93200.3
PJM,2026-01-11T23:00:00Z,23,6,1,11,8.37,93456.2
PJM,2026-01-12T00:00:00Z,0,0,0,12,6.01,101317.5
PJM,2026-01-12T01:00:00Z,1,0,0,12,4.25,99454.4
PJM,2026-01-12T02:00:00Z,2,0,0,12,3.16,101194.2
PJM,2026-01-12T03:00:00Z,3,0,0,12,0.44,102551.1
PJM,2026-01-12T04:00:00Z,4,0,0,12,0.95,103135.3
PJM,2026-01-12T05:00:00Z,5,0,0,12,-2.8,103133.9
PJM,2026-01-12T06:00:00Z,6,0,0,12,-2.56,103512.1
PJM,2026-01-12T07:00:00Z,7,0,0,12,-0.3,103828.7
PJM,2026-01-12T08:00:00Z,8,0,0,12,-1.45,104867.9
PJM,2026-01-12T09:00:00Z,9,0,0,12,-0.9,104415.2
PJM,2026-01-12T10:00:00Z,10,0,0,12,-0.01,106168.7
PJM,2026-01-12T11:00:00Z,11,0,0,12,-0.09,106511.5
PJM,2026-01-12T12:00:00Z,12,0,0,12,0.41,108016.4
PJM,2026-01-12T13:00:00Z,13,0,0,12,0.66,105845.9
PJM,2026-01-12T14:00:00Z,14,0,0,12,0.63,105170.3
PJM,2026-01-12T15:00:00Z,15,0,0,12,0.93,105042.2
PJM,2026-01-12T16:00:00Z,16,0,0,12,3.72,104850.3
PJM,2026-01-12T17:00:00Z,17,0,0,12,4.87,102957.5
PJM,2026-01-12T18:00:00Z,18,0,0,12,6.97,103083.8
PJM,2026-01-12T19:00:00Z,19,0,0,12,6.02,101560.8
PJM,2026-01-12T20:00:00Z,20,0,0,12,7.48,101221.5
PJM,2026-01-12T21:00:00Z,21,0,0,12,4.62,101501.8
PJM,2026-01-12T22:00:00Z,22,0,0,12,7.05,99284.1
PJM,2026-01-12T23:00:00Z,23,0,0,12,6.54,98537.7
PJM,2026-01-13T00:00:00Z,0,1,0,13,7.69,100567.7
PJM,2026-01-13T01:00:00Z,1,1,0,13,4.48,100797.0
PJM,2026-01-13T02:00:00Z,2,1,0,13,0.28,100949.5
PJM,2026-01-13T03:00:00Z,3,1,0,13,2.42,100367.5
PJM,2026-01-13T04:00:00Z,4,1,0,13,2.9,103393.5
PJM,2026-01-13T05:00:00Z,5,1,0,13,-0.9,102557.0
PJM,2026-01-13T06:00:00Z,6,1,0,13,0.39,104897.7
PJM,2026-01-13T07:00:00Z,7,1,0,13,-2.44,105239.0
PJM,2026-01-13T08:00:00Z,8,1,0,13,1.73,102432.9
PJM,2026-01-13T09:00:00Z,9,1,0,13,-3.06,105982.6
PJM,2026-01-13T10:00:00Z,10,1,0,13,-1.78,107176.3
PJM,2026-01-13T11:00:00Z,11,1,0,13,-0.24,104543.8
PJM,2026-01-13T12:00:00Z,12,1,0,13,0.81,105575.1
PJM,2026-01-13T13:00:00Z,13,1,0,13,2.77,104930.9
PJM,2026-01-13T14:00:00Z,14,1,0,13,0.87,106763.9
PJM,2026-01-13T15:00:00Z,15,1,0,13,4.01,105333.6
PJM,2026-01-13T16:00:00Z,16,1,0,13,1.37,106130.0
PJM,2026-01-13T17:00:00Z,17,1,0,13,3.31,104692.5
PJM,2026-01-13T18:00:00Z,18,1,0,13,3.55,104295.6
PJM,2026-01-13T19:00:00Z,19,1,0,13,5.12,101496.9
PJM,2026-01-13T20:00:00Z,20,1,0,13,7.8,101343.8
PJM,2026-01-13T21:00:00Z,21,1,0,13,5.94,102635.1
PJM,2026-01-13T22:00:00Z,22,1,0,13,6.06,100735.4
PJM,2026-01-13T23:00:00Z,23,1,0,13,6.73,99451.6
PJM,2026-01-14T00:00:00Z,0,2,0,14,6.47,99532.2
PJM,2026-01-14T01:00:00Z,1,2,0,14,4.32,102000.7
PJM,2026-01-14T02:00:00Z,2,2,0,14,2.41,99139.1
PJM,2026-01-14T03:00:00Z,3,2,0,14,5.35,102886.0
PJM,2026-01-14T04:00:00Z,4,2,0,14,1.29,100458.1
PJM,2026-01-14T05:00:00Z,5,2,0,14,0.47,102750.8
PJM,2026-01-14T06:00:00Z,6,2,0,14,-0.18,102715.6
PJM,2026-01-14T07:00:00Z,7,2,0,14,0.34,104637.4
PJM,2026-01-14T08:00:00Z,8,2,0,14,-3.17,106720.0
PJM,2026-01-14T09:00:00Z,9,2,0,14,2.01,104811.9
PJM,2026-01-14T10:00:00Z,10,2,0,14,-1.44,106328.8
PJM,2026-01-14T11:00:00Z,11,2,0,14,0.39,104536.7
PJM,2026-01-14T12:00:00Z,12,2,0,14,0.35,106116.7
PJM,2026-01-14T13:00:00Z,13,2,0,14,3.7,105198.6
PJM,2026-01-14T14:00:00Z,14,2,0,14,4.4,104051.5
PJM,2026-01-14T15:00:00Z,15,2,0,14,3.81,105475.2
PJM,2026-01-14T16:00:00Z,16,2,0,14,2.66,105485.7
PJM,2026-01-14T17:00:00Z,17,2,0,14,6.75,103044.5
PJM,2026-01-14T18:00:00Z,18,2,0,14,3.22,104171.5
PJM,2026-01-14T19:00:00Z,19,2,0,14,5.04,102608.6
PJM,2026-01-14T20:00:00Z,20,2,0,14,6.67,100111.0
PJM,2026-01-14T21:00:00Z,21,2,0,14,4.51,102449.2
PJM,2026-01-14T22:00:00Z,22,2,0,14,6.01,98478.9
PJM,2026-01-14T23:00:00Z,23,2,0,14,7.57,100168.7
PJM,2026-01-15T00:00:00Z,0,3,0,15,4.76,99625.4
PJM,2026-01-15T01:00:00Z,1,3,0,15,6.26,100489.0
PJM,2026-01-15T02:00:00Z,2,3,0,15,7.62,100041.2
PJM,2026-01-15T03:00:00Z,3,3,0,15,3.59,101164.7
PJM,2026-01-15T04:00:00Z,4,3,0,15,3.2,102357.3
PJM,2026-01-15T05:00:00Z,5,3,0,15,2.88,101798.9
PJM,2026-01-15T06:00:00Z,6,3,0,15,-0.47,103620.1
PJM,2026-01-15T07:00:00Z,7,3,0,15,0.73,105604.1
PJM,2026-01-15T08:00:00Z,8,3,0,15,-1.54,105224.0
PJM,2026-01-15T09:00:00Z,9,3,0,15,-0.52,105568.1
PJM,2026-01-15T10:00:00Z,10,3,0,15,0.57,103751.5
PJM,2026-01-15T11:00:00Z,11,3,0,15,-1.7,106421.5
PJM,2026-01-15T12:00:00Z,12,3,0,15,-3.3,107150.5
PJM,2026-01-15T13:00:00Z,13,3,0,15,-0.37,106909.9
PJM,2026-01-15T14:00:00Z,14,3,0,15,3.64,105345.5
PJM,2026-01-15T15:00:00Z,15,3,0,15,1.46,106202.0
PJM,2026-01-15T16:00:00Z,16,3,0,15,5.62,103458.6
PJM,2026-01-15T17:00:00Z,17,3,0,15,3.64,105254.8
PJM,2026-01-15T18:00:00Z,18,3,0,15,5.5,104127.1
PJM,2026-01-15T19:00:00Z,19,3,0,15,6.45,103255.7
PJM,2026-01-15T20:00:00Z,20,3,0,15,5.32,102425.4
PJM,2026-01-15T21:00:00Z,21,3,0,15,6.69,100197.3
PJM,2026-01-15T22:00:00Z,22,3,0,15,4.53,102322.1
PJM,2026-01-15T23:00:00Z,23,3,0,15,5.94,99748.2
PJM,2026-01-16T00:00:00Z,0,4,0,16,5.77,101756.0
PJM,2026-01-16T01:00:00Z,1,4,0,16,1.66,100671.8
PJM,2026-01-16T02:00:00Z,2,4,0,16,2.73,103074.3
PJM,2026-01-16T03:00:00Z,3,4,0,16,3.51,102272.3
PJM,2026-01-16T04:00:00Z,4,4,0,16,0.34,101975.5
PJM,2026-01-16T05:00:00Z,5,4,0,16,1.76,102967.8
PJM,2026-01-16T06:00:00Z,6,4,0,16,1.08,103496.1
PJM,2026-01-16T07:00:00Z,7,4,0,16,0.04,104783.2
PJM,2026-01-16T08:00:00Z,8,4,0,16,0.39,105849.4
PJM,2026-01-16T09:00:00Z,9,4,0,16,-3.35,104929.1
PJM,2026-01-16T10:00:00Z,10,4,0,16,0.72,107150.8
PJM,2026-01-16T11:00:00Z,11,4,0,16,-1.91,105668.5
PJM,2026-01-16T12:00:00Z,12,4,0,16,0.4,107731.2
PJM,2026-01-16T13:00:00Z,13,4,0,16,3.78,106205.2
PJM,2026-01-16T14:00:00Z,14,4,0,16,1.49,105736.2
PJM,2026-01-16T15:00:00Z,15,4,0,16,3.1,105537.8
PJM,2026-01-16T16:00:00Z,16,4,0,16,2.6,107668.8
PJM,2026-01-16T17:00:00Z,17,4,0,16,7.76,104426.9
PJM,2026-01-16T18:00:00Z,18,4,0,16,4.53,104883.0
PJM,2026-01-16T19:00:00Z,19,4,0,16,7.51,102797.3
PJM,2026-01-16T20:00:00Z,20,4,0,16,8.82,101898.2
PJM,2026-01-16T21:00:00Z,21,4,0,16,8.19,101575.6
PJM,2026-01-16T22:00:00Z,22,4,0,16,7.46,99050.8
